Trial number,Fixation Onset NEV,Image Onset NEV,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Response value NEV,Reaction onset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,BlockNumber,TrialTypeDesignation
19.0,235.05,236.185,0.0,0.0,0.0,100.0,,,,,1.0,0.8,0.8,1.0,0.51293,0.0,256576.5865,1.1387,1.0,1.0
20.0,236.185,238.445,0.0,0.0,0.0,100.0,,,,,2.0,0.8,0.8,2.0,1.6476,0.0,256578.8464,3.3986,1.0,1.0
21.0,238.445,240.828,0.0,0.0,0.0,100.0,,,,,3.0,0.8,0.8,3.0,3.9078,1.0,256581.2312,5.7834,1.0,1.0
22.0,240.828,241.838,0.0,0.0,0.0,100.0,,,,,4.0,0.8,0.8,4.0,6.2913,1.0,256582.24,6.7922,1.0,1.0
23.0,241.838,244.222,0.0,0.0,0.0,100.0,,,,,5.0,0.8,0.8,5.0,7.3004,0.0,256584.624,9.1761,1.0,1.0
24.0,244.222,246.355,0.0,0.0,0.0,100.0,,,,,6.0,0.8,0.8,6.0,9.6849,1.0,256586.7587,11.3109,1.0,1.0
25.0,246.355,247.863,0.0,0.0,0.0,100.0,,,,,7.0,0.8,0.8,7.0,11.818,0.0,256588.2665,12.8186,1.0,1.0
26.0,247.863,249.121,0.0,0.0,0.0,100.0,,,,,8.0,0.8,0.8,8.0,13.3262,1.0,256589.5248,14.0769,1.0,1.0
27.0,249.121,250.13,0.0,0.0,0.0,100.0,,,,,9.0,0.8,0.8,9.0,14.5842,1.0,256590.5327,15.0849,1.0,1.0
28.0,250.13,251.14,0.0,0.0,0.0,100.0,,,,,10.0,0.8,0.8,10.0,15.5928,1.0,256591.5415,16.0936,1.0,1.0
29.0,251.14,253.274,0.0,0.0,0.0,100.0,,,,,11.0,0.8,0.8,11.0,16.6033,0.0,256593.6769,18.229,1.0,1.0
30.0,253.274,254.657,0.0,0.0,0.0,100.0,,,,,12.0,0.8,0.8,12.0,18.7371,1.0,256595.0605,19.6127,1.0,1.0
31.0,254.657,255.667,0.0,0.0,0.0,100.0,,,,,13.0,0.8,0.8,13.0,20.1202,1.0,256596.0696,20.6218,1.0,1.0
32.0,255.667,257.175,0.0,0.0,0.0,100.0,,,,,14.0,0.8,0.8,14.0,21.1295,0.0,256597.5784,22.1306,1.0,1.0
33.0,257.175,259.311,0.0,0.0,0.0,100.0,,,,,15.0,0.8,0.8,15.0,22.6381,1.0,256599.7116,24.2638,1.0,1.0
34.0,259.311,260.947,0.0,0.0,0.0,100.0,,,,,16.0,0.8,0.8,16.0,24.774,0.0,256601.3475,25.8997,1.0,1.0
35.0,260.947,262.831,0.0,0.0,0.0,100.0,,,,,17.0,0.8,0.8,17.0,26.4101,0.0,256603.2339,27.7861,1.0,1.0
36.0,262.831,264.967,0.0,0.0,0.0,100.0,,,,,18.0,0.8,0.8,18.0,28.294,0.0,256605.3677,29.9198,1.0,1.0
37.0,264.967,266.976,0.0,0.0,0.0,100.0,,,,,19.0,0.8,0.8,19.0,30.43,1.0,256607.3785,31.9307,1.0,1.0
38.0,266.976,268.108,0.0,0.0,0.0,100.0,,,,,20.0,0.8,0.8,20.0,32.4391,0.0,256608.5126,33.0647,1.0,1.0
39.0,268.108,269.741,0.0,0.0,0.0,100.0,,,,,21.0,0.8,0.8,21.0,33.5715,0.0,256610.145,34.6972,1.0,1.0
40.0,269.741,271.25,0.0,0.0,0.0,100.0,,,,,22.0,0.8,0.8,22.0,35.2042,1.0,256611.6527,36.2049,1.0,1.0
41.0,271.25,272.508,0.0,0.0,0.0,100.0,,,,,23.0,0.8,0.8,23.0,36.7128,0.0,256612.9114,37.4636,1.0,1.0
42.0,272.508,273.892,0.0,0.0,0.0,100.0,,,,,24.0,0.8,0.8,24.0,37.9711,0.0,256614.2946,38.8468,1.0,1.0
43.0,273.892,275.902,0.0,0.0,0.0,100.0,,,,,25.0,0.8,0.8,25.0,39.3546,1.0,256616.3031,40.8553,1.0,1.0
44.0,275.902,278.285,0.0,0.0,0.0,100.0,,,,,26.0,0.8,0.8,26.0,41.3648,0.0,256618.6883,43.2405,1.0,1.0
45.0,278.285,279.418,0.0,0.0,0.0,100.0,,,,,27.0,0.8,0.8,27.0,43.7481,0.0,256619.8217,44.3738,1.0,1.0
46.0,279.418,280.801,0.0,0.0,0.0,100.0,,,,,28.0,0.8,0.8,28.0,44.8811,1.0,256621.2046,45.7568,1.0,1.0
47.0,280.801,282.184,0.0,0.0,0.0,100.0,,,,,29.0,0.8,0.8,29.0,46.2641,1.0,256622.5876,47.1398,1.0,1.0
48.0,282.184,283.442,0.0,0.0,0.0,100.0,,,,,30.0,0.8,0.8,30.0,47.6469,1.0,256623.8453,48.3975,1.0,1.0
49.0,283.442,284.95,0.0,0.0,0.0,100.0,,,,,31.0,0.8,0.8,31.0,48.9046,1.0,256625.353,49.9052,1.0,1.0
50.0,284.95,286.334,0.0,0.0,0.0,100.0,,,,,32.0,0.8,0.8,32.0,50.4132,1.0,256626.7369,51.2891,1.0,1.0
51.0,286.334,287.967,0.0,0.0,0.0,100.0,,,,,33.0,0.8,0.8,33.0,51.7965,0.0,256628.3701,52.9222,1.0,1.0
52.0,287.967,290.101,0.0,0.0,0.0,100.0,,,,,34.0,0.8,0.8,34.0,53.4301,0.0,256630.5037,55.0558,1.0,1.0
