,Trial number,Fixation Onset NEV,Image Onset NEV,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Response value NEV,Reaction onset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,noname,noname,noname,noname,noname,TrialTypeDesignation
0,1.0,97.21,102.221,104.235,,97.21,102.221,,,,97.21,104.235,1.0,5.010999999999996,0.0,1.0,96.369,,101.38,101.38,,96.369,,1.0,3.0
1,2.0,104.743,120.255,120.762,0.0,104.743,118.75,120.239,0.0,1.489,104.743,120.762,2.0,14.007000000000005,1.5049999999999955,2.0,103.902,0.0,117.909,119.414,119.398,103.902,1.489,1.0,3.0
2,3.0,121.271,137.778,138.281,1.0,121.271,136.275,136.77,1.0,0.495,121.271,138.281,3.0,15.002999999999986,1.504000000000019,3.0,120.43,1.0,135.433,136.937,135.928,120.43,0.495,1.0,3.0
3,4.0,138.789,142.814,144.819,,138.789,142.814,,,,138.789,144.819,4.0,4.024000000000001,0.0,4.0,137.948,,141.972,141.972,,137.948,,1.0,3.0
4,5.0,145.333,160.338,162.348,,145.333,160.338,,,,145.333,162.348,5.0,15.006,0.0,5.0,144.491,,159.497,159.497,,144.491,,1.0,3.0
5,6.0,162.855,175.939,,,162.855,175.939,,,,162.855,,6.0,13.082999999999998,0.0,6.0,162.014,,175.097,175.097,,162.014,,1.0,3.0
6,7.0,262.41,268.918,269.421,1.0,262.41,267.414,268.345,1.0,0.931,262.41,269.421,7.0,5.004000000000019,1.504000000000019,7.0,261.568,1.0,266.572,268.076,267.503,261.568,0.931,1.0,3.0
7,8.0,269.927,285.434,285.936,1.0,269.927,283.931,284.642,1.0,0.711,269.927,285.936,8.0,14.004000000000019,1.502999999999986,8.0,269.085,1.0,283.089,284.592,283.8,269.085,0.711,1.0,3.0
8,9.0,286.442,302.949,303.451,1.0,286.442,301.445,302.217,1.0,0.772,286.442,303.451,9.0,15.00200000000001,1.504000000000019,9.0,285.601,1.0,300.603,302.107,301.375,285.601,0.772,1.0,3.0
9,10.0,303.958,309.465,309.968,0.0,303.958,307.962,308.657,0.0,0.695,303.958,309.968,10.0,4.004000000000019,1.502999999999986,10.0,303.116,0.0,307.12,308.623,307.815,303.116,0.695,1.0,3.0
10,11.0,310.476,326.988,327.493,0.0,310.476,325.481,326.117,0.0,0.636,310.476,327.493,11.0,15.004999999999995,1.5059999999999718,11.0,309.634,0.0,324.639,326.145,325.275,309.634,0.636,1.0,3.0
11,12.0,328.0,342.506,343.007,0.0,328.0,341.002,341.569,0.0,0.567,328.0,343.007,12.0,13.00200000000001,1.502999999999986,12.0,327.158,0.0,340.16,341.663,340.727,327.158,0.567,1.0,3.0
12,13.0,343.513,353.018,353.52,1.0,343.513,351.515,352.073,1.0,0.558,343.513,353.52,13.0,8.002999999999986,1.502999999999986,13.0,342.67,1.0,350.673,352.176,351.231,342.67,0.558,1.0,3.0
13,14.0,354.026,361.532,362.034,1.0,354.026,360.029,360.633,1.0,0.604,354.026,362.034,14.0,6.002999999999986,1.502999999999986,14.0,353.184,1.0,359.187,360.69,359.79,353.184,0.603,1.0,3.0
14,15.0,362.539,368.045,368.547,1.0,362.539,366.542,367.225,1.0,0.683,362.539,368.547,15.0,4.0020000000000095,1.5039999999999623,15.0,361.697,1.0,365.699,367.203,366.382,361.697,0.683,1.0,3.0
15,16.0,369.052,374.557,375.058,1.0,369.052,373.054,373.633,1.0,0.579,369.052,375.058,16.0,4.0020000000000095,1.502999999999986,16.0,368.209,1.0,372.211,373.714,372.79,368.209,0.579,1.0,3.0
16,17.0,375.563,390.069,390.57,1.0,375.563,388.566,389.44,1.0,0.874,375.563,390.57,17.0,13.00200000000001,1.502999999999986,17.0,374.721,1.0,387.723,389.226,388.598,374.721,0.875,1.0,3.0
17,18.0,391.076,399.581,400.082,1.0,391.076,398.078,398.729,1.0,0.651,391.076,400.082,18.0,7.0020000000000095,1.502999999999986,18.0,390.234,1.0,397.236,398.739,397.886,390.234,0.65,1.0,3.0
18,19.0,400.59,406.095,406.597,1.0,400.59,404.592,405.545,1.0,0.953,400.59,406.597,19.0,4.002999999999986,1.502999999999986,19.0,399.747,1.0,403.75,405.253,404.702,399.747,0.952,1.0,3.0
19,20.0,407.103,416.608,417.109,1.0,407.103,415.105,416.193,1.0,1.088,407.103,417.109,20.0,8.00200000000001,1.502999999999986,20.0,406.26,1.0,414.262,415.765,415.35,406.26,1.088,1.0,3.0
20,21.0,417.614,432.12,432.621,1.0,417.614,430.617,431.513,1.0,0.896,417.614,432.621,21.0,13.00200000000001,1.502999999999986,21.0,416.772,1.0,429.774,431.277,430.67,416.772,0.896,1.0,3.0
