Trial number,Fixation Onset NEV,Image Onset NEV,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Response value NEV,Reaction onset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,BlockNumber,TrialTypeDesignation
1.0,8.077,9.227,0.0,0.0,0.0,100.0,,1.0,2.0,,1.0,0.8,0.8,1.0,0.53236,0.0,193439.0358,1.1593,1.0,1.0
2.0,9.227,11.51,0.0,0.0,0.0,100.0,,1.0,2.0,,2.0,0.8,0.8,2.0,1.6825,1.0,193441.3103,3.4339,1.0,1.0
3.0,11.51,13.91,0.0,0.0,0.0,100.0,,1.0,2.0,,3.0,0.8,0.8,3.0,3.9654,0.0,193443.7181,5.8416,1.0,1.0
4.0,13.91,14.995,0.0,0.0,0.0,100.0,,1.0,2.0,,4.0,0.8,0.8,4.0,6.3653,0.0,193444.7429,6.8664,1.0,1.0
5.0,14.995,17.41,0.0,0.0,0.0,100.0,,1.0,2.0,,5.0,0.8,0.8,5.0,7.4488,1.0,193447.2045,9.3285,1.0,1.0
6.0,17.41,19.56,0.0,0.0,0.0,100.0,,1.0,2.0,,6.0,0.8,0.8,6.0,9.865,1.0,193449.3673,11.4908,1.0,1.0
7.0,19.56,21.093,0.0,0.0,0.0,100.0,,1.0,2.0,,7.0,0.8,0.8,7.0,12.0148,1.0,193450.8921,13.0156,1.0,1.0
8.0,21.093,22.376,0.0,0.0,0.0,100.0,,1.0,2.0,,8.0,0.8,0.8,8.0,13.5481,1.0,193452.1754,14.2989,1.0,1.0
9.0,22.376,23.41,0.0,0.0,0.0,100.0,,1.0,2.0,,9.0,0.8,0.8,9.0,14.8315,0.0,193453.2087,15.3322,1.0,1.0
10.0,23.41,24.443,0.0,0.0,0.0,100.0,,1.0,2.0,,10.0,0.8,0.8,10.0,15.8646,0.0,193454.2418,16.3653,1.0,1.0
11.0,24.443,26.593,0.0,0.0,0.0,100.0,,1.0,2.0,,11.0,0.8,0.8,11.0,16.8979,1.0,193456.4002,18.5237,1.0,1.0
12.0,26.593,27.993,0.0,0.0,0.0,100.0,,1.0,2.0,,12.0,0.8,0.8,12.0,19.0478,1.0,193457.8,19.9235,1.0,1.0
13.0,27.993,29.026,0.0,0.0,0.0,100.0,,1.0,2.0,,13.0,0.8,0.8,13.0,20.4477,1.0,193458.8249,20.9484,1.0,1.0
14.0,29.026,30.559,0.0,0.0,0.0,100.0,,1.0,2.0,,14.0,0.8,0.8,14.0,21.4809,0.0,193460.3581,22.4817,1.0,1.0
15.0,30.559,32.71,0.0,0.0,0.0,100.0,,1.0,2.0,,15.0,0.8,0.8,15.0,23.014,0.0,193462.5163,24.6398,1.0,1.0
16.0,32.71,34.359,0.0,0.0,0.0,100.0,,1.0,2.0,,16.0,0.8,0.8,16.0,25.164,1.0,193464.1662,26.2897,1.0,1.0
17.0,34.359,36.259,0.0,0.0,0.0,100.0,,1.0,2.0,,17.0,0.8,0.8,17.0,26.8138,0.0,193466.0661,28.1896,1.0,1.0
18.0,36.259,38.41,0.0,0.0,0.0,100.0,,1.0,2.0,,18.0,0.8,0.8,18.0,28.7137,1.0,193468.2159,30.3395,1.0,1.0
19.0,38.41,40.443,0.0,0.0,0.0,100.0,,1.0,2.0,,19.0,0.8,0.8,19.0,30.8635,0.0,193470.2408,32.3644,1.0,1.0
20.0,40.443,41.593,0.0,0.0,0.0,100.0,,1.0,2.0,,20.0,0.8,0.8,20.0,32.8968,1.0,193471.3991,33.5226,1.0,1.0
21.0,41.593,43.243,0.0,0.0,0.0,100.0,,1.0,2.0,,21.0,0.8,0.8,21.0,34.0467,0.0,193473.049,35.1725,1.0,1.0
22.0,43.243,44.776,0.0,0.0,0.0,100.0,,1.0,2.0,,22.0,0.8,0.8,22.0,35.6966,0.0,193474.5739,36.6974,1.0,1.0
23.0,44.776,46.059,0.0,0.0,0.0,100.0,,1.0,2.0,,23.0,0.8,0.8,23.0,37.2299,0.0,193475.8572,37.9807,1.0,1.0
24.0,46.059,47.459,0.0,0.0,0.0,100.0,,1.0,2.0,,24.0,0.8,0.8,24.0,38.513,0.0,193477.2653,39.3888,1.0,1.0
