Trial number,Fixation Onset NEV,Image Onset NEV,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Response value NEV,Reaction onset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,Noname,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,BlockNumber,noname,noname,noname,noname,TrialTypeDesignation
1.0,401.677,402.194,0.0,0.0,0.0,100.0,,,1.0,,,1.0,3.25,1.25,1.0,0.55751,1.0,359303.0019,1.1842,1.0,,,,,1.0
2.0,402.828,403.346,0.0,0.0,0.0,100.0,,,0.0,,,2.0,2.25,3.5,2.0,1.709,0.0,359305.2781,3.4604,1.0,,,,,1.0
3.0,405.114,405.631,0.0,0.0,0.0,100.0,,,1.0,,,3.0,3.25,3.75,3.0,3.9945,1.0,359307.6881,5.8703,1.0,,,,,1.0
4.0,407.516,408.033,0.0,0.0,0.0,100.0,,,1.0,,,4.0,2.75,1.0,4.0,6.3968,1.0,359308.7158,6.8981,1.0,,,,,1.0
5.0,408.551,409.069,0.0,0.0,0.0,100.0,,,1.0,,,5.0,3.5,3.75,5.0,7.4312,1.0,359311.1267,9.3091,1.0,,,,,1.0
6.0,410.953,411.47,0.0,0.0,0.0,100.0,,,0.0,,,6.0,3.0,3.25,6.0,9.8335,0.0,359313.2771,11.4593,1.0,,,,,1.0
7.0,413.105,413.622,0.0,0.0,0.0,100.0,,,1.0,,,7.0,3.0,2.0,7.0,11.9856,1.0,359314.8044,12.9866,1.0,,,,,1.0
8.0,414.64,415.157,0.0,0.0,0.0,100.0,,,0.0,,,8.0,2.75,1.5,8.0,13.5204,0.0,359316.0892,14.2713,1.0,,,,,1.0
9.0,415.941,416.458,0.0,0.0,0.0,100.0,,,1.0,,,9.0,3.0,1.0,9.0,14.8218,1.0,359317.1404,15.3226,1.0,,,,,1.0
10.0,416.975,417.493,0.0,0.0,0.0,100.0,,,0.0,,,10.0,1.75,1.0,10.0,15.8562,0.0,359318.1745,16.3567,1.0,,,,,1.0
11.0,418.01,418.527,0.0,0.0,0.0,100.0,,,0.0,,,11.0,1.25,3.25,11.0,16.8906,0.0,359320.3342,18.5164,1.0,,,,,1.0
12.0,420.162,420.679,0.0,0.0,0.0,100.0,,,1.0,,,12.0,3.0,1.75,12.0,19.0427,1.0,359321.7362,19.9184,1.0,,,,,1.0
13.0,421.563,422.081,0.0,0.0,0.0,100.0,,,1.0,,,13.0,3.75,1.0,13.0,20.4441,1.0,359322.7625,20.9447,1.0,,,,,1.0
14.0,422.598,423.115,0.0,0.0,0.0,100.0,,,1.0,,,14.0,2.25,2.0,14.0,21.4785,1.0,359324.2969,22.4791,1.0,,,,,1.0
15.0,424.133,424.65,0.0,0.0,0.0,100.0,,,0.0,,,15.0,3.25,3.25,15.0,23.0134,0.0,359326.457,24.6393,1.0,,,,,1.0
16.0,426.505,427.009,0.0,0.0,0.0,100.0,,,1.0,,,16.0,1.5,2.25,16.0,25.3722,1.0,359328.3155,26.4977,1.0,,,,,1.0
17.0,428.137,428.717,0.0,0.0,0.0,100.0,,,1.0,,,17.0,2.25,2.75,17.0,27.0807,1.0,359330.2745,28.4568,1.0,,,,,1.0
