Trial number,Fixation Onset NEV,Image Onset NEV,NoName,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,NoName1,NoName2,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,StartTrial,CrossStart,ResponseTime,BlockNumber,TrialTypeDesignation
1.0,192.277,192.794,,1.0,192.277,192.794,,0.0,,192.277,192.794,1.0,3.25,1.25,1.0,0.56049,0.0,181130.0034,1.188,,,,1.0,1.0
2.0,193.448,193.961,193.448,1.0,193.448,193.961,,0.0,,193.448,193.961,2.0,2.25,3.5,2.0,1.7286,0.0,181132.2954,3.48,,,,1.0,1.0
3.0,195.729,196.246,195.729,1.0,195.729,196.246,,1.0,,195.729,196.246,3.0,3.25,3.75,3.0,4.0139,1.0,181134.7052,5.8898,,,,1.0,1.0
4.0,198.132,198.649,198.132,1.0,198.132,198.649,,0.0,,198.132,198.649,4.0,2.75,1.0,4.0,6.4162,0.0,181135.733,6.9175,,,,1.0,1.0
5.0,199.167,199.684,199.167,1.0,199.167,199.684,,1.0,,199.167,199.684,5.0,3.5,3.75,5.0,7.4507,1.0,181138.1441,9.3288,,,,1.0,1.0
6.0,201.568,202.085,201.568,1.0,201.568,202.085,,0.0,,201.568,202.085,6.0,3.0,3.25,6.0,9.853,0.0,181140.2941,11.4786,,,,1.0,1.0
7.0,203.72,204.238,203.72,1.0,203.72,204.238,,1.0,,203.72,204.238,7.0,3.0,2.0,7.0,12.0053,1.0,181141.8217,13.0062,,,,1.0,1.0
8.0,205.255,205.772,205.255,1.0,205.255,205.772,,0.0,,205.255,205.772,8.0,2.75,1.5,8.0,13.54,0.0,181143.1064,14.291,,,,1.0,1.0
9.0,206.54,207.057,206.54,1.0,206.54,207.057,,0.0,,206.54,207.057,9.0,3.0,1.0,9.0,14.8247,0.0,181144.141,15.3256,,,,1.0,1.0
10.0,207.574,208.092,207.574,1.0,207.574,208.092,,1.0,,207.574,208.092,10.0,1.75,1.0,10.0,15.8591,1.0,181145.1754,16.36,,,,1.0,1.0
11.0,208.609,209.126,208.609,1.0,208.609,209.126,,0.0,,208.609,209.126,11.0,1.25,3.25,11.0,16.8933,0.0,181147.3347,18.5192,,,,1.0,1.0
12.0,210.761,211.278,210.761,1.0,210.761,211.278,,0.0,,210.761,211.278,12.0,3.0,1.75,12.0,19.0455,0.0,181148.7368,19.9214,,,,1.0,1.0
13.0,212.162,212.679,212.162,1.0,212.162,212.679,,1.0,,212.162,212.679,13.0,3.75,1.0,13.0,20.4469,1.0,181149.7632,20.9478,,,,1.0,1.0
14.0,213.197,213.714,213.197,1.0,213.197,213.714,,1.0,,213.197,213.714,14.0,2.25,2.0,14.0,21.4813,1.0,181151.2978,22.4824,,,,1.0,1.0
15.0,214.731,215.249,214.731,1.0,214.731,215.249,,0.0,,214.731,215.249,15.0,3.25,3.25,15.0,23.0161,0.0,181153.4574,24.642,,,,1.0,1.0
16.0,216.884,217.401,216.884,1.0,216.884,217.401,,1.0,,216.884,217.401,16.0,1.5,2.25,16.0,25.1683,1.0,181155.1096,26.2941,,,,1.0,1.0
17.0,218.535,219.052,218.535,1.0,218.535,219.052,,0.0,,218.535,219.052,17.0,2.25,2.75,17.0,26.8199,0.0,181157.011,28.1955,,,,1.0,1.0
18.0,220.437,220.954,220.437,1.0,220.437,220.954,,0.0,,220.437,220.954,18.0,3.0,3.25,18.0,28.7218,0.0,181159.1632,30.3478,,,,1.0,1.0
19.0,222.589,223.107,222.589,1.0,222.589,223.107,,0.0,,222.589,223.107,19.0,1.75,3.0,19.0,30.8741,0.0,181161.1902,32.3747,,,,1.0,1.0
20.0,224.625,225.142,224.625,1.0,224.625,225.142,,0.0,,224.625,225.142,20.0,2.75,1.25,20.0,32.9092,0.0,181162.3506,33.5352,,,,1.0,1.0
21.0,225.776,226.293,225.776,1.0,225.776,226.293,,1.0,,225.776,226.293,21.0,1.25,2.25,21.0,34.0606,1.0,181164.002,35.1865,,,,1.0,1.0
22.0,227.428,227.945,227.428,1.0,227.428,227.945,,0.0,,227.428,227.945,22.0,3.75,2.0,22.0,35.7122,0.0,181165.5286,36.7131,,,,1.0,1.0
23.0,228.962,229.48,228.962,1.0,228.962,229.48,,1.0,,228.962,229.48,23.0,2.75,1.5,23.0,37.2469,1.0,181166.8133,37.9977,,,,1.0,1.0
24.0,230.247,230.764,230.247,1.0,230.247,230.764,,1.0,,230.247,230.764,24.0,3.25,1.75,24.0,38.5315,1.0,181168.223,39.4075,,,,1.0,1.0
25.0,231.648,232.166,231.648,1.0,231.648,232.166,,0.0,,231.648,232.166,25.0,2.5,3.0,25.0,39.933,0.0,181170.2495,41.4339,,,,1.0,1.0
26.0,233.684,234.201,233.684,1.0,233.684,234.201,,1.0,,233.684,234.201,26.0,3.5,3.75,26.0,41.9684,1.0,181172.6598,43.8443,,,,1.0,1.0
27.0,236.086,236.604,236.086,1.0,236.086,236.604,,0.0,,236.086,236.604,27.0,2.5,1.25,27.0,44.3709,0.0,181173.8123,44.9968,,,,1.0,1.0
28.0,237.237,237.755,237.237,1.0,237.237,237.755,,1.0,,237.237,237.755,28.0,1.25,1.75,28.0,45.5219,1.0,181175.2132,46.3977,,,,1.0,1.0
29.0,238.639,239.156,238.639,1.0,238.639,239.156,,1.0,,238.639,239.156,29.0,3.5,1.75,29.0,46.9233,1.0,181176.6147,47.7992,,,,1.0,1.0
30.0,240.04,240.557,240.04,1.0,240.04,240.557,,1.0,,240.04,240.557,30.0,3.25,1.5,30.0,48.3247,1.0,181177.8909,49.0754,,,,1.0,1.0
31.0,241.325,241.842,241.325,1.0,241.325,241.842,,0.0,,241.325,241.842,31.0,3.75,2.0,31.0,49.6094,0.0,181179.4257,50.6103,,,,1.0,1.0
