Trial number,Fixation Onset NEV,Image Onset NEV,NoName,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,NoName1,NoName2,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,StartTrial,CrossStart,ResponseTime,ShapeChoice,BlockNumber,TrialTypeDesignation
1.0,39.372,40.006,,1.0,39.372,40.006,,0.0,,39.372,40.006,1.0,3.25,1.25,1.0,0.64467,0.0,214393.2314,1.2703,,,,0.0,1.0,4.0
2.0,40.639,42.406,40.639,1.0,40.639,42.406,,0.0,,40.639,42.406,2.0,2.25,3.5,2.0,3.0448,0.0,214396.7566,4.7954,,,,0.0,1.0,4.0
3.0,44.172,46.056,44.172,1.0,44.172,46.056,,0.0,,44.172,46.056,3.0,3.25,3.75,3.0,6.6948,0.0,214400.5314,8.5703,,,,0.0,1.0,4.0
4.0,47.939,48.456,47.939,1.0,47.939,48.456,,0.0,,47.939,48.456,4.0,2.75,1.0,4.0,9.0948,0.0,214401.5564,9.5953,,,,1.0,1.0,4.0
5.0,48.973,50.857,48.973,1.0,48.973,50.857,,0.0,,48.973,50.857,5.0,3.5,3.75,5.0,11.495,0.0,214405.3331,13.3722,,,,0.0,1.0,4.0
6.0,52.739,54.373,52.739,1.0,52.739,54.373,,0.0,,52.739,54.373,6.0,3.0,3.25,6.0,15.0117,0.0,214408.5981,16.6369,,,,1.0,1.0,4.0
7.0,56.006,57.023,56.006,1.0,56.006,57.023,,0.0,,56.006,57.023,7.0,3.0,2.0,7.0,17.6617,0.0,214410.6231,18.6619,,,,0.0,1.0,4.0
8.0,58.039,58.806,58.039,1.0,58.039,58.806,,1.0,,58.039,58.806,8.0,2.75,1.5,8.0,19.445,1.0,214412.1564,20.1953,,,,1.0,1.0,4.0
9.0,59.573,60.09,59.573,1.0,59.573,60.09,,1.0,,59.573,60.09,9.0,3.0,1.0,9.0,20.7287,1.0,214413.1902,21.2291,,,,1.0,1.0,4.0
10.0,60.606,61.123,60.606,1.0,60.606,61.123,,0.0,,60.606,61.123,10.0,1.75,1.0,10.0,21.7617,0.0,214414.2232,22.262,,,,1.0,1.0,4.0
11.0,61.639,63.273,61.639,1.0,61.639,63.273,,1.0,,61.639,63.273,11.0,1.25,3.25,11.0,23.9117,1.0,214417.4982,25.537,,,,1.0,1.0,4.0
12.0,64.906,65.79,64.906,1.0,64.906,65.79,,0.0,,64.906,65.79,12.0,3.0,1.75,12.0,26.4284,0.0,214419.2648,27.3037,,,,1.0,1.0,4.0
