Trial number,Fixation Onset NEV,Image Onset NEV,NoName,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,NoName1,NoName2,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,StartTrial,CrossStart,ResponseTime,ShapeChoice,BlockNumber,TrialTypeDesignation
1.0,81.2060546875,81.8583984375,81.20703125,0.0,0.0,0.0,81.8583984375,1.0,81.8583984375,,,1.0,3.25,1.25,1.0,0.70861,1.0,328507.9136,1.3353,,,,1.0,1.0,4.0
2.0,82.5078125,84.2734375,82.5087890625,0.0,0.0,0.0,,0.0,,,,2.0,2.25,3.5,2.0,3.1253,0.0,328511.4551,4.8767,,,,1.0,1.0,4.0
3.0,86.0400390625,87.9404296875,86.041015625,0.0,0.0,0.0,,0.0,,,,3.0,3.25,3.75,3.0,6.7923,0.0,328515.2471,8.6687,,,,1.0,1.0,4.0
4.0,89.8232421875,90.33984375,89.82421875,0.0,0.0,0.0,90.33984375,1.0,90.33984375,,,4.0,2.75,1.0,4.0,9.1921,1.0,328516.2718,9.6934,,,,1.0,1.0,4.0
5.0,90.8564453125,92.7578125,90.857421875,0.0,0.0,0.0,92.7578125,1.0,92.7578125,,,5.0,3.5,3.75,5.0,11.6091,1.0,328520.0665,13.4882,,,,0.0,1.0,4.0
6.0,94.6572265625,96.306640625,94.658203125,0.0,0.0,0.0,,0.0,,,,6.0,3.0,3.25,6.0,15.1593,0.0,328523.3634,16.7849,,,,0.0,1.0,4.0
7.0,97.9404296875,98.95703125,97.94140625,0.0,0.0,0.0,98.95703125,1.0,98.95703125,,,7.0,3.0,2.0,7.0,17.8089,1.0,328525.3881,18.8096,,,,1.0,1.0,4.0
8.0,99.9736328125,100.740234375,99.974609375,0.0,0.0,0.0,,0.0,,,,8.0,2.75,1.5,8.0,19.5921,0.0,328526.9212,20.3427,,,,1.0,1.0,4.0
9.0,101.5087890625,102.0234375,101.509765625,0.0,0.0,0.0,,0.0,,,,9.0,3.0,1.0,9.0,20.8755,0.0,328527.9545,21.3761,,,,0.0,1.0,4.0
10.0,102.5400390625,103.056640625,102.541015625,0.0,0.0,0.0,,0.0,,,,10.0,1.75,1.0,10.0,21.9088,0.0,328528.9879,22.4094,,,,1.0,1.0,4.0
