Trial number,Fixation Onset NEV,Image Onset NEV,Image Offset NEV,nothing,Fixation Onset NEV,Onset Choice Period,Response time NEV,Shade value NEV,Reaction time NEV,Trial onset,Trial offset,Nothing,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,StartTrial,CrossStart,ResponseTime,BlockNumber,TrialTypeDesignation
1.0,134.80859375,,,0.0,0.0,0.0,,0.0,,134.80859375,140.818359375,1.0,3.25,1.25,1.0,1.5031,0.0,251752.9534,6.0249,6.42e-05,4.0209,-1.0,,1.0,3.0
2.0,142.072265625,,,0.0,0.0,0.0,,0.0,,142.072265625,148.0810546875,2.0,2.25,3.5,2.0,1.5027,0.0,251760.2158,13.2873,7.2775,11.2838,-1.0,,1.0,3.0
3.0,151.5888671875,157.09375,,0.0,0.0,0.0,,1.0,,151.5888671875,157.5947265625,3.0,3.25,3.75,3.0,1.5027,1.0,251769.7311,22.8026,16.79,20.7989,-1.0,,1.0,3.0
4.0,161.349609375,,161.3505859375,0.0,0.0,0.0,,0.0,,161.349609375,167.357421875,4.0,2.75,1.0,4.0,1.5028,0.0,251779.4932,32.5647,26.5551,30.5612,-1.0,,1.0,3.0
5.0,168.365234375,173.8740234375,,0.0,0.0,0.0,,1.0,,168.365234375,174.37890625,5.0,3.5,3.75,5.0,1.5042,1.0,251786.5132,39.5849,33.5674,37.5777,-1.0,,1.0,3.0
6.0,178.1328125,,178.1337890625,0.0,0.0,0.0,,0.0,,178.1328125,184.1396484375,6.0,3.0,3.25,6.0,1.5024,0.0,251796.2757,49.3471,43.3394,47.3443,-1.0,,1.0,3.0
7.0,187.3916015625,,,0.0,0.0,0.0,,0.0,,187.3916015625,193.400390625,7.0,3.0,2.0,7.0,1.5024,0.0,251805.5357,58.6071,52.5993,56.6044,-1.0,,1.0,3.0
8.0,195.4033203125,200.908203125,,0.0,0.0,0.0,,1.0,,195.4033203125,201.4091796875,8.0,2.75,1.5,8.0,1.5023,1.0,251813.5459,66.6174,60.6093,64.6146,-1.0,,1.0,3.0
9.0,202.9140625,208.4189453125,202.9150390625,0.0,0.0,0.0,207.427734375,1.0,207.427734375,202.9140625,208.9189453125,9.0,3.0,1.0,9.0,1.5027,1.0,251821.0564,74.1279,68.1197,72.1248,251679.3122,,1.0,3.0
10.0,209.9248046875,,209.92578125,0.0,0.0,0.0,,0.0,,209.9248046875,215.9296875,10.0,1.75,1.0,10.0,1.5023,0.0,251828.0669,81.1384,75.1306,79.1357,-1.0,,1.0,3.0
