Trial number,Fixation Onset NEV,Image Onset NEV,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Response value NEV,Reaction onset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,Noname,ColorLev,TimeTrial,BlockNumber,noname,noname,noname,noname,noname,TrialTypeDesignation
1.0,3351.431,3351.939,0.0,0.0,0.0,100.0,,,,,1.0,3.25,1.25,1.0,,,0.0,,1.0,,,,,,1.0
2.0,3352.577,3353.089,0.0,0.0,0.0,100.0,,,,,2.0,2.25,3.5,2.0,,,0.0,,1.0,,,,,,1.0
3.0,3354.846,3355.35,0.0,0.0,0.0,100.0,,,,,3.0,3.25,3.75,3.0,,,0.0,,1.0,,,,,,1.0
4.0,3357.232,3357.737,0.0,0.0,0.0,100.0,,,1.0,,4.0,2.75,1.0,4.0,,,1.0,,1.0,,,,,,1.0
5.0,3358.247,3358.753,0.0,0.0,0.0,100.0,,,,,5.0,3.5,3.75,5.0,,,0.0,,1.0,,,,,,1.0
6.0,3360.635,3361.138,0.0,0.0,0.0,100.0,,,1.0,,6.0,3.0,3.25,6.0,,,1.0,,1.0,,,,,,1.0
7.0,3362.768,3363.272,0.0,0.0,0.0,100.0,,,1.0,,7.0,3.0,2.0,7.0,,,1.0,,1.0,,,,,,1.0
8.0,3364.276,3364.778,0.0,0.0,0.0,100.0,,,1.0,,8.0,2.75,1.5,8.0,,,1.0,,1.0,,,,,,1.0
9.0,3365.533,3366.038,0.0,0.0,0.0,100.0,,,,,9.0,3.0,1.0,9.0,,,0.0,,1.0,,,,,,1.0
10.0,3366.543,3367.046,0.0,0.0,0.0,100.0,,,1.0,,10.0,1.75,1.0,10.0,,,1.0,,1.0,,,,,,1.0
11.0,3367.551,3368.054,0.0,0.0,0.0,100.0,,,,,11.0,1.25,3.25,11.0,,,0.0,,1.0,,,,,,1.0
12.0,3369.683,3370.187,0.0,0.0,0.0,100.0,,,1.0,,12.0,3.0,1.75,12.0,,,1.0,,1.0,,,,,,1.0
13.0,3371.067,3371.571,0.0,0.0,0.0,100.0,,,,,13.0,3.75,1.0,13.0,,,0.0,,1.0,,,,,,1.0
14.0,3372.075,3372.578,0.0,0.0,0.0,100.0,,,,,14.0,2.25,2.0,14.0,,,0.0,,1.0,,,,,,1.0
15.0,3373.583,3374.087,0.0,0.0,0.0,100.0,,,,,15.0,3.25,3.25,15.0,,,0.0,,1.0,,,,,,1.0
16.0,3375.716,3376.22,0.0,0.0,0.0,100.0,,,,,16.0,1.5,2.25,16.0,,,0.0,,1.0,,,,,,1.0
17.0,3377.349,3377.854,0.0,0.0,0.0,100.0,,,,,17.0,2.25,2.75,17.0,,,0.0,,1.0,,,,,,1.0
18.0,3379.234,3379.738,0.0,0.0,0.0,100.0,,,,,18.0,3.0,3.25,18.0,,,0.0,,1.0,,,,,,1.0
19.0,3381.367,3381.87,0.0,0.0,0.0,100.0,,,1.0,,19.0,1.75,3.0,19.0,,,1.0,,1.0,,,,,,1.0
20.0,3383.375,3383.879,0.0,0.0,0.0,100.0,,,,,20.0,2.75,1.25,20.0,,,0.0,,1.0,,,,,,1.0
21.0,3384.508,3385.011,0.0,0.0,0.0,100.0,,,,,21.0,1.25,2.25,21.0,,,0.0,,1.0,,,,,,1.0
22.0,3386.14,3386.643,0.0,0.0,0.0,100.0,,,1.0,,22.0,3.75,2.0,22.0,,,1.0,,1.0,,,,,,1.0
23.0,3387.647,3388.151,0.0,0.0,0.0,100.0,,,,,23.0,2.75,1.5,23.0,,,0.0,,1.0,,,,,,1.0
24.0,3388.905,3389.409,0.0,0.0,0.0,100.0,,,1.0,,24.0,3.25,1.75,24.0,,,1.0,,1.0,,,,,,1.0
25.0,3390.288,3390.792,0.0,0.0,0.0,100.0,,,,,25.0,2.5,3.0,25.0,,,0.0,,1.0,,,,,,1.0
26.0,3392.296,3392.8,0.0,0.0,0.0,100.0,,,1.0,,26.0,3.5,3.75,26.0,,,1.0,,1.0,,,,,,1.0
27.0,3394.68,3395.183,0.0,0.0,0.0,100.0,,,1.0,,27.0,2.5,1.25,27.0,,,1.0,,1.0,,,,,,1.0
28.0,3395.813,3396.316,0.0,0.0,0.0,100.0,,,1.0,,28.0,1.25,1.75,28.0,,,1.0,,1.0,,,,,,1.0
29.0,3397.195,3397.698,0.0,0.0,0.0,100.0,,,,,29.0,3.5,1.75,29.0,,,0.0,,1.0,,,,,,1.0
30.0,3398.578,3399.082,0.0,0.0,0.0,100.0,,,,,30.0,3.25,1.5,30.0,,,0.0,,1.0,,,,,,1.0
31.0,3399.836,3400.34,0.0,0.0,0.0,100.0,,,1.0,,31.0,3.75,2.0,31.0,,,1.0,,1.0,,,,,,1.0
32.0,3401.344,3401.847,0.0,0.0,0.0,100.0,,,,,32.0,1.5,1.75,32.0,,,0.0,,1.0,,,,,,1.0
33.0,3402.727,3403.231,0.0,0.0,0.0,100.0,,,,,33.0,2.75,2.25,33.0,,,0.0,,1.0,,,,,,1.0
34.0,3404.36,3404.863,0.0,0.0,0.0,100.0,,,,,34.0,2.0,3.25,34.0,,,0.0,,1.0,,,,,,1.0
35.0,3406.493,3406.996,0.0,0.0,0.0,100.0,,,,,35.0,2.75,2.5,35.0,,,0.0,,1.0,,,,,,1.0
36.0,3408.251,3408.754,0.0,0.0,0.0,100.0,,,,,36.0,3.75,1.75,36.0,,,0.0,,1.0,,,,,,1.0
37.0,3409.634,3410.138,0.0,0.0,0.0,100.0,,,1.0,,37.0,3.25,3.25,37.0,,,1.0,,1.0,,,,,,1.0
38.0,3411.768,3412.272,0.0,0.0,0.0,100.0,,,,,38.0,2.0,2.5,38.0,,,0.0,,1.0,,,,,,1.0
39.0,3413.527,3414.03,0.0,0.0,0.0,100.0,,,1.0,,39.0,1.0,1.0,39.0,,,1.0,,1.0,,,,,,1.0
40.0,3414.535,3415.038,0.0,0.0,0.0,100.0,,,,,40.0,2.5,3.25,40.0,,,0.0,,1.0,,,,,,1.0
41.0,3416.669,3417.172,0.0,0.0,0.0,100.0,,,,,41.0,3.75,1.25,41.0,,,0.0,,1.0,,,,,,1.0
