Trial number,Fixation Onset NEV,Image Onset NEV,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Response value NEV,Reaction onset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,BlockNumber,TrialTypeDesignation
13.0,10.406,11.211,0.0,0.0,0.0,100.0,,1.0,2.0,,70.0,0.8,0.8,70.0,,,,,1.0,
14.0,11.211,12.015,0.0,0.0,0.0,100.0,,1.0,2.0,,71.0,0.8,0.8,71.0,,,,,1.0,
15.0,12.015,12.819,0.0,0.0,0.0,100.0,,1.0,2.0,,72.0,0.8,0.8,72.0,,,,,1.0,
16.0,12.819,13.624,0.0,0.0,0.0,100.0,,1.0,2.0,,73.0,0.8,0.8,73.0,,,,,1.0,
17.0,13.624,14.428,0.0,0.0,0.0,100.0,,1.0,2.0,,74.0,0.8,0.8,74.0,,,,,1.0,
18.0,14.428,15.232,0.0,0.0,0.0,100.0,,1.0,2.0,,75.0,0.8,0.8,75.0,,,,,1.0,
19.0,15.232,16.037,0.0,0.0,0.0,100.0,,1.0,2.0,,76.0,0.8,0.8,76.0,,,,,1.0,
20.0,16.037,16.841,0.0,0.0,0.0,100.0,,1.0,2.0,,77.0,0.8,0.8,77.0,,,,,1.0,
21.0,16.841,17.646,0.0,0.0,0.0,100.0,,1.0,2.0,,78.0,0.8,0.8,78.0,,,,,1.0,
22.0,17.646,18.45,0.0,0.0,0.0,100.0,,1.0,2.0,,79.0,0.8,0.8,79.0,,,,,1.0,
23.0,18.45,19.255,0.0,0.0,0.0,100.0,,1.0,2.0,,80.0,0.8,0.8,80.0,,,,,1.0,
24.0,19.255,20.06,0.0,0.0,0.0,100.0,,1.0,2.0,,81.0,0.8,0.8,81.0,,,,,1.0,
25.0,20.06,20.864,0.0,0.0,0.0,100.0,,1.0,2.0,,82.0,0.8,0.8,82.0,,,,,1.0,
26.0,20.864,21.668,0.0,0.0,0.0,100.0,,1.0,2.0,,83.0,0.8,0.8,83.0,,,,,1.0,
27.0,21.668,22.473,0.0,0.0,0.0,100.0,,1.0,2.0,,84.0,0.8,0.8,84.0,,,,,1.0,
28.0,22.473,23.278,0.0,0.0,0.0,100.0,,1.0,2.0,,85.0,0.8,0.8,85.0,,,,,1.0,
29.0,23.278,24.083,0.0,0.0,0.0,100.0,,1.0,2.0,,86.0,0.8,0.8,86.0,,,,,1.0,
30.0,24.083,24.888,0.0,0.0,0.0,100.0,,1.0,2.0,,87.0,0.8,0.8,87.0,,,,,1.0,
31.0,24.888,25.692,0.0,0.0,0.0,100.0,,1.0,2.0,,88.0,0.8,0.8,88.0,,,,,1.0,
32.0,25.692,26.497,0.0,0.0,0.0,100.0,,1.0,2.0,,89.0,0.8,0.8,89.0,,,,,1.0,
33.0,26.497,27.302,0.0,0.0,0.0,100.0,,1.0,2.0,,90.0,0.8,0.8,90.0,,,,,1.0,
34.0,27.302,28.106,0.0,0.0,0.0,100.0,,1.0,2.0,,91.0,0.8,0.8,91.0,,,,,1.0,
35.0,28.106,28.91,0.0,0.0,0.0,100.0,,1.0,2.0,,92.0,0.8,0.8,92.0,,,,,1.0,
36.0,28.91,29.715,0.0,0.0,0.0,100.0,,1.0,2.0,,93.0,0.8,0.8,93.0,,,,,1.0,
37.0,29.715,30.519,0.0,0.0,0.0,100.0,,1.0,2.0,,94.0,0.8,0.8,94.0,,,,,1.0,
38.0,30.519,31.324,0.0,0.0,0.0,100.0,,1.0,2.0,,95.0,0.8,0.8,95.0,,,,,1.0,
39.0,31.324,32.129,0.0,0.0,0.0,100.0,,1.0,2.0,,96.0,0.8,0.8,96.0,,,,,1.0,
40.0,32.129,32.934,0.0,0.0,0.0,100.0,,1.0,2.0,,97.0,0.8,0.8,97.0,,,,,1.0,
41.0,32.934,33.738,0.0,0.0,0.0,100.0,,1.0,2.0,,98.0,0.8,0.8,98.0,,,,,1.0,
42.0,33.738,34.542,0.0,0.0,0.0,100.0,,1.0,2.0,,99.0,0.8,0.8,99.0,,,,,1.0,
43.0,34.542,135.6,0.0,0.0,0.0,100.0,,1.0,2.0,,100.0,0.8,0.8,100.0,,,,,1.0,
44.0,135.6,136.406,0.0,0.0,0.0,100.0,,1.0,2.0,,1.0,0.8,0.8,1.0,,,,,2.0,2.0
45.0,136.406,137.212,0.0,0.0,0.0,100.0,,1.0,2.0,,2.0,0.8,0.8,2.0,,,,,2.0,2.0
46.0,137.212,138.018,0.0,0.0,0.0,100.0,,1.0,2.0,,3.0,0.8,0.8,3.0,,,,,2.0,2.0
47.0,138.018,138.827,0.0,0.0,0.0,100.0,,1.0,2.0,,4.0,0.8,0.8,4.0,,,,,2.0,2.0
48.0,138.827,139.635,0.0,0.0,0.0,100.0,,1.0,2.0,,5.0,0.8,0.8,5.0,,,,,2.0,2.0
49.0,139.635,140.441,0.0,0.0,0.0,100.0,,1.0,2.0,,6.0,0.8,0.8,6.0,,,,,2.0,2.0
50.0,140.441,141.246,0.0,0.0,0.0,100.0,,1.0,2.0,,7.0,0.8,0.8,7.0,,,,,2.0,2.0
51.0,141.246,142.051,0.0,0.0,0.0,100.0,,1.0,2.0,,8.0,0.8,0.8,8.0,,,,,2.0,2.0
52.0,142.051,142.856,0.0,0.0,0.0,100.0,,1.0,2.0,,9.0,0.8,0.8,9.0,,,,,2.0,2.0
53.0,142.856,143.66,0.0,0.0,0.0,100.0,,1.0,2.0,,10.0,0.8,0.8,10.0,,,,,2.0,2.0
54.0,143.66,144.466,0.0,0.0,0.0,100.0,,1.0,2.0,,11.0,0.8,0.8,11.0,,,,,2.0,2.0
55.0,144.466,145.271,0.0,0.0,0.0,100.0,,1.0,2.0,,12.0,0.8,0.8,12.0,,,,,2.0,2.0
56.0,145.271,146.076,0.0,0.0,0.0,100.0,,1.0,2.0,,13.0,0.8,0.8,13.0,,,,,2.0,2.0
57.0,146.076,146.88,0.0,0.0,0.0,100.0,,1.0,2.0,,14.0,0.8,0.8,14.0,,,,,2.0,2.0
58.0,146.88,147.685,0.0,0.0,0.0,100.0,,1.0,2.0,,15.0,0.8,0.8,15.0,,,,,2.0,2.0
59.0,147.685,148.491,0.0,0.0,0.0,100.0,,1.0,2.0,,16.0,0.8,0.8,16.0,,,,,2.0,2.0
60.0,148.491,149.296,0.0,0.0,0.0,100.0,,1.0,2.0,,17.0,0.8,0.8,17.0,,,,,2.0,2.0
61.0,149.296,150.102,0.0,0.0,0.0,100.0,,1.0,2.0,,18.0,0.8,0.8,18.0,,,,,2.0,2.0
62.0,150.102,150.906,0.0,0.0,0.0,100.0,,1.0,2.0,,19.0,0.8,0.8,19.0,,,,,2.0,2.0
63.0,150.906,151.714,0.0,0.0,0.0,100.0,,1.0,2.0,,20.0,0.8,0.8,20.0,,,,,2.0,2.0
64.0,151.714,152.52,0.0,0.0,0.0,100.0,,1.0,2.0,,21.0,0.8,0.8,21.0,,,,,2.0,2.0
65.0,152.52,153.325,0.0,0.0,0.0,100.0,,1.0,2.0,,22.0,0.8,0.8,22.0,,,,,2.0,2.0
66.0,153.325,154.13,0.0,0.0,0.0,100.0,,1.0,2.0,,23.0,0.8,0.8,23.0,,,,,2.0,2.0
67.0,154.13,154.935,0.0,0.0,0.0,100.0,,1.0,2.0,,24.0,0.8,0.8,24.0,,,,,2.0,2.0
68.0,154.935,155.741,0.0,0.0,0.0,100.0,,1.0,2.0,,25.0,0.8,0.8,25.0,,,,,2.0,2.0
69.0,155.741,156.545,0.0,0.0,0.0,100.0,,1.0,2.0,,26.0,0.8,0.8,26.0,,,,,2.0,2.0
70.0,156.545,157.35,0.0,0.0,0.0,100.0,,1.0,2.0,,27.0,0.8,0.8,27.0,,,,,2.0,2.0
71.0,157.35,158.156,0.0,0.0,0.0,100.0,,1.0,2.0,,28.0,0.8,0.8,28.0,,,,,2.0,2.0
72.0,158.156,158.964,0.0,0.0,0.0,100.0,,1.0,2.0,,29.0,0.8,0.8,29.0,,,,,2.0,2.0
73.0,158.964,159.77,0.0,0.0,0.0,100.0,,1.0,2.0,,30.0,0.8,0.8,30.0,,,,,2.0,2.0
74.0,159.77,160.575,0.0,0.0,0.0,100.0,,1.0,2.0,,31.0,0.8,0.8,31.0,,,,,2.0,2.0
75.0,160.575,161.38,0.0,0.0,0.0,100.0,,1.0,2.0,,32.0,0.8,0.8,32.0,,,,,2.0,2.0
76.0,161.38,162.186,0.0,0.0,0.0,100.0,,1.0,2.0,,33.0,0.8,0.8,33.0,,,,,2.0,2.0
77.0,162.186,162.992,0.0,0.0,0.0,100.0,,1.0,2.0,,34.0,0.8,0.8,34.0,,,,,2.0,2.0
78.0,162.992,163.796,0.0,0.0,0.0,100.0,,1.0,2.0,,35.0,0.8,0.8,35.0,,,,,2.0,2.0
79.0,163.796,164.602,0.0,0.0,0.0,100.0,,1.0,2.0,,36.0,0.8,0.8,36.0,,,,,2.0,2.0
80.0,164.602,165.407,0.0,0.0,0.0,100.0,,1.0,2.0,,37.0,0.8,0.8,37.0,,,,,2.0,2.0
81.0,165.407,166.212,0.0,0.0,0.0,100.0,,1.0,2.0,,38.0,0.8,0.8,38.0,,,,,2.0,2.0
82.0,166.212,167.019,0.0,0.0,0.0,100.0,,1.0,2.0,,39.0,0.8,0.8,39.0,,,,,2.0,2.0
83.0,167.019,167.825,0.0,0.0,0.0,100.0,,1.0,2.0,,40.0,0.8,0.8,40.0,,,,,2.0,2.0
84.0,167.825,168.63,0.0,0.0,0.0,100.0,,1.0,2.0,,41.0,0.8,0.8,41.0,,,,,2.0,2.0
85.0,168.63,169.436,0.0,0.0,0.0,100.0,,1.0,2.0,,42.0,0.8,0.8,42.0,,,,,2.0,2.0
86.0,169.436,170.242,0.0,0.0,0.0,100.0,,1.0,2.0,,43.0,0.8,0.8,43.0,,,,,2.0,2.0
87.0,170.242,171.046,0.0,0.0,0.0,100.0,,1.0,2.0,,44.0,0.8,0.8,44.0,,,,,2.0,2.0
88.0,171.046,171.852,0.0,0.0,0.0,100.0,,1.0,2.0,,45.0,0.8,0.8,45.0,,,,,2.0,2.0
89.0,171.852,172.656,0.0,0.0,0.0,100.0,,1.0,2.0,,46.0,0.8,0.8,46.0,,,,,2.0,2.0
90.0,172.656,173.461,0.0,0.0,0.0,100.0,,1.0,2.0,,47.0,0.8,0.8,47.0,,,,,2.0,2.0
91.0,173.461,174.267,0.0,0.0,0.0,100.0,,1.0,2.0,,48.0,0.8,0.8,48.0,,,,,2.0,2.0
92.0,174.267,175.071,0.0,0.0,0.0,100.0,,1.0,2.0,,49.0,0.8,0.8,49.0,,,,,2.0,2.0
93.0,175.071,175.876,0.0,0.0,0.0,100.0,,1.0,2.0,,50.0,0.8,0.8,50.0,,,,,2.0,2.0
94.0,175.876,176.681,0.0,0.0,0.0,100.0,,1.0,2.0,,51.0,0.8,0.8,51.0,,,,,2.0,2.0
95.0,176.681,177.485,0.0,0.0,0.0,100.0,,1.0,2.0,,52.0,0.8,0.8,52.0,,,,,2.0,2.0
96.0,177.485,178.291,0.0,0.0,0.0,100.0,,1.0,2.0,,53.0,0.8,0.8,53.0,,,,,2.0,2.0
