Trial number,Fixation Onset NEV,Image Onset NEV,Image Offset NEV,nothing,Fixation Onset NEV,Onset Choice Period,Response time NEV,Shade value NEV,Reaction time NEV,Trial onset,Trial offset,nothing,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,StartTrial,CrossStart,ResponseTime,BlockNumber,TrialTypeDesignation
1.0,1907.772,1913.314,1913.817,1.0,1907.772,1911.795,,0.0,,1907.772,1913.817,,1.0,3.25,1.25,1.0,1.5145,0.0,231308.8029,6.0902,0.00075238,4.0699,-1.0,3.0,3.0
2.0,1915.095,1920.634,1921.137,1.0,1915.095,1919.116,1919.128,0.0,0.012,1915.095,1921.137,0.012,2.0,2.25,3.5,2.0,1.5177,0.0,231316.1228,13.41,7.3527,11.3908,231295.3604,3.0,3.0
3.0,1924.672,1930.211,1930.712,1.0,1924.672,1928.692,,0.0,,1924.672,1930.712,,3.0,3.25,3.75,3.0,1.5178,0.0,231325.6986,22.9857,16.9266,20.967,-1.0,3.0,3.0
4.0,1934.498,1940.02,1940.522,1.0,1934.498,1938.502,,1.0,,1934.498,1940.522,,4.0,2.75,1.0,4.0,1.518,1.0,231335.5084,32.7955,26.7528,30.7766,-1.0,3.0,3.0
5.0,1941.556,1947.096,1947.6,1.0,1941.556,1945.576,,0.0,,1941.556,1947.6,,5.0,3.5,3.75,5.0,1.5174,0.0,231342.5856,39.8729,33.8137,37.8508,-1.0,3.0,3.0
6.0,1951.382,1956.904,1957.407,1.0,1951.382,1955.386,1955.81,1.0,0.424,1951.382,1957.407,0.424,6.0,3.0,3.25,6.0,1.5178,1.0,231352.3918,49.679,43.6371,47.6602,231259.4981,3.0,3.0
7.0,1960.674,1966.196,1966.698,1.0,1960.674,1964.678,,1.0,,1960.674,1966.698,,7.0,3.0,2.0,7.0,1.518,1.0,231361.6844,58.9715,52.9457,56.9526,-1.0,3.0,3.0
8.0,1968.733,1974.271,1974.774,1.0,1968.733,1972.753,,0.0,,1968.733,1974.774,,8.0,2.75,1.5,8.0,1.5178,0.0,231369.7592,67.0463,60.9883,65.0276,-1.0,3.0,3.0
9.0,1976.306,1981.845,1982.347,1.0,1976.306,1980.327,1980.658,1.0,0.331,1976.306,1982.347,0.331,9.0,3.0,1.0,9.0,1.518,1.0,231377.3333,74.6205,68.5632,72.6018,231234.4772,3.0,3.0
10.0,1983.38,1988.902,1989.404,1.0,1983.38,1987.384,,1.0,,1983.38,1989.404,,10.0,1.75,1.0,10.0,1.5181,1.0,231384.3902,81.6773,75.6373,79.6587,-1.0,3.0,3.0
