Trial number,Fixation Onset NEV,Image Onset NEV,Image Offset NEV,nothing,Fixation Onset NEV,Onset Choice Period,Response time NEV,Shade value NEV,Reaction time NEV,Trial onset,Trial offset,Nothing,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,StartTrial,CrossStart,ResponseTime,BlockNumber,TrialTypeDesignation
1.0,1585.655,1591.166,1591.668,1.0,1585.655,1589.662,,0.0,,1585.655,1591.668,,1.0,3.25,1.25,1.0,1.5029,0.0,512696.368,6.0207,0.000199,4.0167,-1.0,3.0,3.0
2.0,1592.924,1598.433,1598.935,1.0,1592.924,1596.929,,1.0,,1592.924,1598.935,,2.0,2.25,3.5,2.0,1.5028,1.0,512703.6347,13.2874,7.2745,11.2837,-1.0,3.0,3.0
3.0,1602.441,1607.949,1608.454,1.0,1602.441,1606.445,1607.912,1.0,1.467,1602.441,1608.454,1.467,3.0,3.25,3.75,3.0,1.5031,1.0,512713.1512,22.8039,16.7907,20.7997,512675.008,3.0,3.0
4.0,1612.21,1617.717,1618.22,1.0,1612.21,1616.214,1617.386,1.0,1.172,1612.21,1618.22,1.172,4.0,2.75,1.0,4.0,1.5027,1.0,512722.9196,32.5723,26.5594,30.5685,512664.9583,3.0,3.0
5.0,1619.231,1624.743,1625.248,1.0,1619.231,1623.237,,1.0,,1619.231,1625.248,,5.0,3.5,3.75,5.0,1.5041,1.0,512729.9456,39.5986,33.5782,37.5916,-1.0,3.0,3.0
6.0,1629.003,1634.51,1635.012,1.0,1629.003,1633.007,,1.0,,1629.003,1635.012,,6.0,3.0,3.25,6.0,1.5024,1.0,512739.712,49.3647,43.3544,47.3616,-1.0,3.0,3.0
8.0,1710.794,1716.304,1716.807,1.0,1710.794,1714.8,,0.0,,1710.794,1716.807,,1.0,3.25,1.25,1.0,1.5028,0.0,512821.5062,6.0183,0.0005158,4.014,-1.0,4.0,3.0
9.0,1718.063,1723.571,1724.083,1.0,1718.063,1722.068,,0.0,,1718.063,1724.083,,2.0,2.25,3.5,2.0,1.5027,0.0,512828.7732,13.2852,7.2724,11.2817,-1.0,4.0,3.0
10.0,1727.588,1733.096,1733.599,1.0,1727.588,1731.593,,0.0,,1727.588,1733.599,,3.0,3.25,3.75,3.0,1.5027,0.0,512838.2986,22.8107,16.7974,20.8068,-1.0,4.0,3.0
11.0,1737.355,1742.862,1743.365,1.0,1737.355,1741.359,1742.034,1.0,0.675,1737.355,1743.365,0.675,4.0,2.75,1.0,4.0,1.503,1.0,512848.0645,32.5765,26.5648,30.5725,512789.5964,4.0,3.0
12.0,1744.372,1749.883,1750.388,1.0,1744.372,1748.378,,1.0,,1744.372,1750.388,,5.0,3.5,3.75,5.0,1.5042,1.0,512855.087,39.5994,33.5803,37.5917,-1.0,4.0,3.0
13.0,1754.145,1759.652,1760.157,1.0,1754.145,1758.149,1758.754,1.0,0.605,1754.145,1760.157,0.605,6.0,3.0,3.25,6.0,1.5029,1.0,512864.8539,49.366,43.3554,47.3624,512772.7364,4.0,3.0
14.0,1763.413,1768.92,1769.423,1.0,1763.413,1767.417,1768.185,0.0,0.768,1763.413,1769.423,0.768,7.0,3.0,2.0,7.0,1.5026,0.0,512874.1222,58.6342,52.6216,56.6309,512763.6334,4.0,3.0
15.0,1771.428,1776.935,1777.438,1.0,1771.428,1775.433,1776.347,0.0,0.914,1771.428,1777.438,0.914,8.0,2.75,1.5,8.0,1.5026,0.0,512882.1377,66.6497,60.6379,64.6464,512755.7617,4.0,3.0
16.0,1778.943,1784.449,1784.951,1.0,1778.943,1782.947,,0.0,,1778.943,1784.951,,9.0,3.0,1.0,9.0,1.5023,0.0,512889.6513,74.1634,68.1532,72.1604,-1.0,4.0,3.0
17.0,1785.957,1791.465,1791.967,1.0,1785.957,1789.961,1790.699,1.0,0.738,1785.957,1791.967,0.738,10.0,1.75,1.0,10.0,1.5035,1.0,512896.6668,81.1789,75.1665,79.1747,512741.0565,4.0,3.0
18.0,1792.972,1798.479,1798.981,1.0,1792.972,1796.976,1797.761,1.0,0.785,1792.972,1798.981,0.785,11.0,1.25,3.25,11.0,1.5027,1.0,512903.6809,88.193,82.1825,86.1897,512734.0898,4.0,3.0
19.0,1802.236,1807.743,1808.244,1.0,1802.236,1806.24,1806.985,0.0,0.745,1802.236,1808.244,0.745,12.0,3.0,1.75,12.0,1.5026,0.0,512912.9446,97.4566,91.4463,95.4534,512724.7862,4.0,3.0
20.0,1810.0,1815.508,1816.01,1.0,1810.0,1814.005,1814.617,0.0,0.612,1810.0,1816.01,0.612,13.0,3.75,1.0,13.0,1.5027,0.0,512920.7099,105.2219,99.2108,103.2185,512716.8883,4.0,3.0
21.0,1817.015,1822.521,1823.023,1.0,1817.015,1821.018,1821.609,1.0,0.591,1817.015,1823.023,0.591,14.0,2.25,2.0,14.0,1.5025,1.0,512927.723,112.235,106.2254,110.2319,512709.8524,4.0,3.0
22.0,1825.028,1830.535,1831.037,1.0,1825.028,1829.032,1829.585,1.0,0.553,1825.028,1831.037,0.553,15.0,3.25,3.25,15.0,1.5029,1.0,512935.737,120.249,114.2382,118.2456,512701.8018,4.0,3.0
23.0,1834.291,1839.798,1840.3,1.0,1834.291,1838.295,1839.017,0.0,0.722,1834.291,1840.3,0.722,16.0,1.5,2.25,16.0,1.5026,0.0,512945.0002,129.5123,123.502,127.509,512692.7069,4.0,3.0
24.0,1842.555,1848.062,1848.565,1.0,1842.555,1846.559,1847.385,0.0,0.826,1842.555,1848.565,0.826,17.0,2.25,2.75,17.0,1.5028,0.0,512953.2644,137.7765,131.7654,135.773,512684.5477,4.0,3.0
25.0,1851.32,1856.826,1857.328,1.0,1851.32,1855.323,1856.041,1.0,0.718,1851.32,1857.328,0.718,18.0,3.0,3.25,18.0,1.5027,1.0,512962.0283,146.5403,140.5298,144.5371,512675.6749,4.0,3.0
26.0,1860.583,1866.089,1866.592,1.0,1860.583,1864.586,1865.313,1.0,0.727,1860.583,1866.592,0.727,19.0,1.75,3.0,19.0,1.5027,1.0,512971.2916,155.8036,149.7933,153.8002,512666.42,4.0,3.0
27.0,1869.597,1875.103,1875.605,1.0,1869.597,1873.6,1874.209,0.0,0.609,1869.597,1875.605,0.609,20.0,2.75,1.25,20.0,1.5026,0.0,512980.3053,164.8173,158.8069,162.8141,512657.2887,4.0,3.0
28.0,1876.86,1882.368,1882.871,1.0,1876.86,1880.865,1881.489,0.0,0.624,1876.86,1882.871,0.624,21.0,1.25,2.25,21.0,1.5027,0.0,512987.5706,172.0826,166.0703,170.0792,512650.0402,4.0,3.0
29.0,1885.126,1890.632,1891.135,1.0,1885.126,1889.129,1889.793,1.0,0.664,1885.126,1891.135,0.664,22.0,3.75,2.0,22.0,1.5026,1.0,512995.8343,180.3463,174.3365,178.343,512641.8142,4.0,3.0
30.0,1893.139,1898.646,1899.149,1.0,1893.139,1897.143,1897.673,1.0,0.53,1893.139,1899.149,0.53,23.0,2.75,1.5,23.0,1.5028,1.0,513003.8483,188.3604,182.3497,186.3569,512633.6671,4.0,3.0
31.0,1900.653,1906.16,1906.663,1.0,1900.653,1904.657,1905.249,1.0,0.592,1900.653,1906.663,0.592,24.0,3.25,1.75,24.0,1.5025,1.0,513011.3621,195.8741,189.8638,193.8706,512626.2151,4.0,3.0
32.0,1908.418,1913.924,1914.426,1.0,1908.418,1912.421,1913.153,0.0,0.732,1908.418,1914.426,0.732,25.0,2.5,3.0,25.0,1.5027,0.0,513019.126,203.6381,197.6276,201.6347,512618.5915,4.0,3.0
33.0,1917.431,1922.938,1923.439,1.0,1917.431,1921.435,1922.025,0.0,0.59,1917.431,1923.439,0.59,26.0,3.5,3.75,26.0,1.5027,0.0,513028.1395,212.6515,206.6415,210.6483,512609.436,4.0,3.0
34.0,1927.194,1932.701,1933.203,1.0,1927.194,1931.198,1932.112,0.0,0.914,1927.194,1933.203,0.914,27.0,2.5,1.25,27.0,1.5028,0.0,513037.9027,222.4147,216.4044,220.4113,512599.9977,4.0,3.0
35.0,1934.458,1939.965,1940.468,1.0,1934.458,1938.462,1939.353,1.0,0.891,1934.458,1940.468,0.891,28.0,1.25,1.75,28.0,1.5027,1.0,513045.1674,229.6794,223.6681,227.6761,512592.7095,4.0,3.0
36.0,1942.222,1947.728,1948.231,1.0,1942.222,1946.226,1946.865,0.0,0.639,1942.222,1948.231,0.639,29.0,3.5,1.75,29.0,1.5027,0.0,513052.9306,237.4426,231.4327,235.4393,512584.6937,4.0,3.0
37.0,1949.985,,,1.0,1949.985,0.0,,0.0,,1949.985,,,30.0,3.25,1.5,30.0,1.5025,0.0,513060.6944,245.2065,239.1958,243.2029,-1.0,4.0,3.0
