Trial number,Fixation Onset NEV,Image Onset NEV,NoName,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,NoName1,NoName2,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,StartTrial,CrossStart,ResponseTime,ShapeChoice,BlockNumber,TrialTypeDesignation
1.0,61.209,61.725,,0.0,0.0,0.0,,1.0,,61.209,61.725,1.0,3.25,1.25,1.0,0.55579,1.0,134682.8136,1.1817,,,,,1.0,1.0
2.0,62.359,62.875,62.359,0.0,0.0,0.0,,1.0,,62.359,62.875,2.0,2.25,3.5,2.0,1.7059,1.0,134685.0884,3.4564,,,,,1.0,1.0
3.0,64.642,65.159,64.642,0.0,0.0,0.0,,0.0,,64.642,65.159,3.0,3.25,3.75,3.0,3.9892,0.0,134687.4966,5.8647,,,,,1.0,1.0
4.0,67.042,67.559,67.042,0.0,0.0,0.0,,0.0,,67.042,67.559,4.0,2.75,1.0,4.0,6.3892,0.0,134688.5216,6.8897,,,,,1.0,1.0
5.0,68.076,68.593,68.076,0.0,0.0,0.0,,0.0,,68.076,68.593,5.0,3.5,3.75,5.0,7.4227,0.0,134690.9314,9.2997,,,,,1.0,1.0
6.0,70.475,70.993,70.475,0.0,0.0,0.0,,1.0,,70.475,70.993,6.0,3.0,3.25,6.0,9.8231,1.0,134693.0803,11.4484,,,,,1.0,1.0
7.0,72.626,73.142,72.626,0.0,0.0,0.0,,1.0,,72.626,73.142,7.0,3.0,2.0,7.0,11.9727,1.0,134694.605,12.9731,,,,,1.0,1.0
8.0,74.159,74.676,74.159,0.0,0.0,0.0,,1.0,,74.159,74.676,8.0,2.75,1.5,8.0,13.506,1.0,134695.8882,14.2562,,,,,1.0,1.0
9.0,75.442,75.959,75.442,0.0,0.0,0.0,,1.0,,75.442,75.959,9.0,3.0,1.0,9.0,14.7894,1.0,134696.9216,15.2896,,,,,1.0,1.0
10.0,76.476,76.992,76.476,0.0,0.0,0.0,,0.0,,76.476,76.992,10.0,1.75,1.0,10.0,15.8227,0.0,134697.9549,16.323,,,,,1.0,1.0
